,Product,Price,Ratings,Warranty,No of Ratings,No of Reviews,Features
0,"APPLE iPhone XR (White, 128 GB)","₹44,999",4.6,Brand Warranty of 1 Year,"99,646"," 8,546","128 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor,Water and Dust Resistant (1 meter for Upto 30 minutes, IP67),Face ID for Secure Authentication"
1,"APPLE iPhone XR (Black, 128 GB)","₹44,999",4.6,Brand Warranty of 1 Year,"99,646"," 8,546","128 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor,Water and Dust Resistant (1 meter for Upto 30 minutes, IP67),Face ID for Secure Authentication"
2,"APPLE iPhone XR (Yellow, 128 GB)","₹44,999",4.6,Brand Warranty of 1 Year,"99,646"," 8,546","128 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor,Water and Dust Resistant (1 meter for Upto 30 minutes, IP67),Face ID for Secure Authentication"
3,"APPLE iPhone 8 (Space Grey, 256 GB)","₹77,000",4.5,Brand Warranty of 1 Year,"11,338", 799,"256 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera"
4,"APPLE iPhone 8 (Silver, 256 GB)","₹77,000",4.5,Brand Warranty of 1 Year,"11,338", 799,"256 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera"
5,"APPLE iPhone 8 (Gold, 256 GB)","₹77,000",4.5,Brand Warranty of 1 Year,"11,338", 799,"256 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera"
6,"APPLE iPhone 7 Plus (Black, 32 GB)","₹36,999",4.5,Brand Warranty of 1 Year,"29,784"," 2,998","32 GB ROM,13.94 cm (5.488 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor"
7,"APPLE iPhone XR ((PRODUCT)RED, 128 GB)","₹44,999",4.6,Brand Warranty of 1 Year,"99,646"," 8,546","128 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor,Water and Dust Resistant (1 meter for Upto 30 minutes, IP67),Face ID for Secure Authentication"
8,"APPLE iPhone XR (Blue, 128 GB)","₹44,999",4.6,Brand Warranty of 1 Year,"99,646"," 8,546","128 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera"
9,"APPLE iPhone 7 Plus (Black, 256 GB)","₹85,400",4.5,Brand Warranty of 1 Year,"29,784"," 2,998","256 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera"
10,"APPLE iPhone 7 Plus (Rose Gold, 32 GB)","₹36,999",4.5,Brand Warranty of 1 Year,"29,784"," 2,998","32 GB ROM,13.94 cm (5.488 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor"
11,"APPLE iPhone 7 Plus (Black, 128 GB)","₹42,900",4.5,Brand Warranty of 1 Year,"29,784"," 2,998","128 GB ROM,13.94 cm (5.488 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera"
12,"APPLE iPhone SE (Red, 128 GB)","₹29,999",4.5,Brand Warranty of 1 Year,"1,46,944"," 11,544","128 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor,Water and Dust Resistant (1 meter for Upto 30 minutes, IP67),Fast Charge Capable"
13,"APPLE iPhone 7 (Black, 128 GB)","₹34,900",4.5,Brand Warranty of 1 Year,"94,900"," 9,223","128 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera"
14,"APPLE iPhone 7 (Gold, 32 GB)","₹24,999",4.5,Brand Warranty of 1 Year,"94,900"," 9,223","32 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor"
15,"APPLE iPhone XR (Coral, 128 GB)","₹44,999",4.6,Brand Warranty of 1 Year,"99,646"," 8,546","128 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor,Water and Dust Resistant (1 meter for Upto 30 minutes, IP67),Face ID for Secure Authentication"
16,"APPLE iPhone 7 Plus (Silver, 256 GB)","₹85,400",4.5,Brand Warranty of 1 Year,"29,784"," 2,998","256 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera"
17,"APPLE iPhone 7 (PRODUCT) (Red, 256 GB)","₹74,400",4.7,Brand Warranty of 1 Year,29, 1,"256 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera"
18,"APPLE iPhone 7 (Jet Black, 32 GB)","₹24,999",4.5,Brand Warranty of 1 Year,"94,900"," 9,223","32 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor"
19,"APPLE iPhone 7 Plus (Gold, 256 GB)","₹85,400",4.5,Brand Warranty of 1 Year,"29,784"," 2,998","256 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera"
20,"APPLE iPhone 7 (Rose Gold, 128 GB)","₹34,900",4.5,Brand Warranty of 1 Year,"94,900"," 9,223","128 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera"
21,"APPLE iPhone 7 Plus (Silver, 32 GB)","₹36,999",4.5,Brand Warranty of 1 Year,"29,784"," 2,998","32 GB ROM,13.94 cm (5.488 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor"
22,"APPLE iPhone 7 Plus (PRODUCT) (Red, 256 GB)","₹85,400",5,Brand Warranty of 1 Year,3, 3,"256 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera"
23,"APPLE iPhone 7 Plus (Red, 128 GB)","₹42,900",4.5,Brand Warranty of 1 Year,"29,784"," 2,998","128 GB ROM,13.94 cm (5.488 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera"
24,"APPLE iPhone XR (White, 128 GB)","₹44,999",4.6,Brand Warranty of 1 Year,"99,646"," 8,546","128 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor,Water and Dust Resistant (1 meter for Upto 30 minutes, IP67),Face ID for Secure Authentication"
25,"APPLE iPhone XR (Yellow, 128 GB)","₹44,999",4.6,Brand Warranty of 1 Year,"99,646"," 8,546","128 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor,Water and Dust Resistant (1 meter for Upto 30 minutes, IP67),Face ID for Secure Authentication"
26,"APPLE iPhone XR (Black, 128 GB)","₹44,999",4.6,Brand Warranty of 1 Year,"99,646"," 8,546","128 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor,Water and Dust Resistant (1 meter for Upto 30 minutes, IP67),Face ID for Secure Authentication"
27,"APPLE iPhone 8 (Space Grey, 256 GB)","₹77,000",4.5,Brand Warranty of 1 Year,"11,338", 799,"256 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera"
28,"APPLE iPhone 8 (Silver, 256 GB)","₹77,000",4.5,Brand Warranty of 1 Year,"11,338", 799,"256 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera"
29,"APPLE iPhone 8 (Gold, 256 GB)","₹77,000",4.5,Brand Warranty of 1 Year,"11,338", 799,"256 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera"
30,"APPLE iPhone 7 Plus (Black, 32 GB)","₹36,999",4.5,Brand Warranty of 1 Year,"29,784"," 2,998","32 GB ROM,13.94 cm (5.488 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor"
31,"APPLE iPhone XR ((PRODUCT)RED, 128 GB)","₹44,999",4.6,Brand Warranty of 1 Year,"99,646"," 8,546","128 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor,Water and Dust Resistant (1 meter for Upto 30 minutes, IP67),Face ID for Secure Authentication"
32,"APPLE iPhone XR (Blue, 128 GB)","₹44,999",4.6,Brand Warranty of 1 Year,"99,646"," 8,546","128 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera"
33,"APPLE iPhone 7 Plus (Black, 256 GB)","₹85,400",4.5,Brand Warranty of 1 Year,"29,784"," 2,998","256 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera"
34,"APPLE iPhone 7 Plus (Rose Gold, 32 GB)","₹36,999",4.5,Brand Warranty of 1 Year,"29,784"," 2,998","32 GB ROM,13.94 cm (5.488 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor"
35,"APPLE iPhone 7 Plus (Black, 128 GB)","₹42,900",4.5,Brand Warranty of 1 Year,"29,784"," 2,998","128 GB ROM,13.94 cm (5.488 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera"
36,"APPLE iPhone SE (Red, 128 GB)","₹29,999",4.5,Brand Warranty of 1 Year,"1,46,944"," 11,544","128 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor,Water and Dust Resistant (1 meter for Upto 30 minutes, IP67),Fast Charge Capable"
37,"APPLE iPhone 7 (Black, 128 GB)","₹34,900",4.5,Brand Warranty of 1 Year,"94,900"," 9,223","128 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera"
38,"APPLE iPhone 7 (Gold, 32 GB)","₹24,999",4.5,Brand Warranty of 1 Year,"94,900"," 9,223","32 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor"
39,"APPLE iPhone XR (Coral, 128 GB)","₹44,999",4.6,Brand Warranty of 1 Year,"99,646"," 8,546","128 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor,Water and Dust Resistant (1 meter for Upto 30 minutes, IP67),Face ID for Secure Authentication"
40,"APPLE iPhone 7 Plus (Silver, 256 GB)","₹85,400",4.5,Brand Warranty of 1 Year,"29,784"," 2,998","256 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera"
41,"APPLE iPhone 7 (PRODUCT) (Red, 256 GB)","₹74,400",4.7,Brand Warranty of 1 Year,29, 1,"256 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera"
42,"APPLE iPhone 7 (Jet Black, 32 GB)","₹24,999",4.5,Brand Warranty of 1 Year,"94,900"," 9,223","32 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor"
43,"APPLE iPhone 7 Plus (Gold, 256 GB)","₹85,400",4.5,Brand Warranty of 1 Year,"29,784"," 2,998","256 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera"
44,"APPLE iPhone 7 (Rose Gold, 128 GB)","₹34,900",4.5,Brand Warranty of 1 Year,"94,900"," 9,223","128 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera"
45,"APPLE iPhone 7 Plus (Silver, 32 GB)","₹36,999",4.5,Brand Warranty of 1 Year,"29,784"," 2,998","32 GB ROM,13.94 cm (5.488 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor"
46,"APPLE iPhone 7 Plus (PRODUCT) (Red, 256 GB)","₹85,400",5,Brand Warranty of 1 Year,3, 3,"256 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera"
47,"APPLE iPhone 7 Plus (Red, 128 GB)","₹42,900",4.5,Brand Warranty of 1 Year,"29,784"," 2,998","128 GB ROM,13.94 cm (5.488 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera"
